INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2022-07-15T23:05:00-00:00,2022-07-15T23:10:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,12.41599,2,1
2022-07-15T23:10:00-00:00,2022-07-15T23:15:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,7.81431,3,1
2022-07-15T23:15:00-00:00,2022-07-15T23:20:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,6.49004,4,1
2022-07-15T23:20:00-00:00,2022-07-15T23:25:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,7.90556,5,1
2022-07-15T23:25:00-00:00,2022-07-15T23:30:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,9.19577,6,1
2022-07-15T23:30:00-00:00,2022-07-15T23:35:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,18.19251,7,1
2022-07-15T23:35:00-00:00,2022-07-15T23:40:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,21.15254,8,1
2022-07-15T23:40:00-00:00,2022-07-15T23:45:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,20.53239,9,1
2022-07-15T23:45:00-00:00,2022-07-15T23:50:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,27.91922,10,1
2022-07-15T23:50:00-00:00,2022-07-15T23:55:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,34.99792,11,1
2022-07-15T23:55:00-00:00,2022-07-16T00:00:00-00:00,2022-07-15,17,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,RTM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,27.61143,12,1
